question,distribution
"A factory produces light bulbs, and 90% of them are not defective. If a customer buys 10 bulbs, what is the probability that exactly 8 of them work?",Binomial
"A website gets an average of 5 visitors per minute. What is the probability that in a given minute, exactly 7 visitors arrive?",Poisson
The heights of students in a school follow a normal distribution with a mean of 170 cm and a standard deviation of 10 cm. What is the probability that a randomly selected student is taller than 180 cm?,Normal
"A factory produces light bulbs, and 90% of them are not defective. If a customer buys 10 bulbs, what is the probability that exactly 8 of them work?",Binomial
"If a coin is flipped 5 times, what is the probability of getting exactly 3 heads?",Binomial
A die is rolled 10 times. What is the probability of rolling a 6 exactly twice?,Binomial
"A survey shows that 80% of students pass an exam. If 5 students are selected randomly, what is the probability that exactly 4 pass?",Binomial
"A website gets an average of 5 visitors per minute. What is the probability that in a given minute, exactly 7 visitors arrive?",Poisson
A call center receives an average of 12 calls per hour. What is the probability that they receive 15 calls in an hour?,Poisson
An emergency room receives an average of 20 patients per day. What is the probability that exactly 25 patients arrive today?,Poisson
A bank gets 10 customer visits per hour on average. What is the probability of getting exactly 12 customers in an hour?,Poisson
The heights of students in a school follow a normal distribution with a mean of 170 cm and a standard deviation of 10 cm. What is the probability that a randomly selected student is taller than 180 cm?,Normal
The weight of apples in a grocery store follows a normal distribution with a mean of 150 grams and a standard deviation of 20 grams. What is the probability of selecting an apple weighing more than 170 grams?,Normal
The IQ scores of people follow a normal distribution with a mean of 100 and a standard deviation of 15. What is the probability that a randomly chosen person has an IQ above 120?,Normal
"The annual salaries of employees in a company are normally distributed with a mean of $50,000 and a standard deviation of $5,000. What is the probability that a randomly selected employee earns more than $55,000?",Normal
A random number is chosen between 10 and 50. What is the probability that the number is greater than 30?,Uniform
A fair spinner is divided into 4 equal sections numbered 1 to 4. What is the probability of landing on a 3?,Uniform
A random point is selected in a square of area 100. What is the probability that it falls in a smaller region of area 20?,Uniform
A random variable X is uniformly distributed between 2 and 8. What is the probability of X being greater than 5?,Uniform
A basketball player has a 60% chance of making a free throw. What is the probability that the first successful shot happens on the third attempt?,Geometric
